,Index,Time_since_1900,Time_Str
494,8320,1021480,2016-07-12-16h
495,8321,1021481,2016-07-12-17h
496,8322,1021482,2016-07-12-18h
497,8323,1021483,2016-07-12-19h
498,8324,1021484,2016-07-12-20h
499,8325,1021485,2016-07-12-21h
500,8344,1021504,2016-07-13-16h
501,8345,1021505,2016-07-13-17h
502,8346,1021506,2016-07-13-18h
503,8347,1021507,2016-07-13-19h
504,8348,1021508,2016-07-13-20h
505,8349,1021509,2016-07-13-21h
506,8358,1021518,2016-07-14-06h
507,8359,1021519,2016-07-14-07h
508,8361,1021521,2016-07-14-09h
509,8367,1021527,2016-07-14-15h
510,8368,1021528,2016-07-14-16h
511,8369,1021529,2016-07-14-17h
512,8370,1021530,2016-07-14-18h
513,8371,1021531,2016-07-14-19h
514,8372,1021532,2016-07-14-20h
515,8373,1021533,2016-07-14-21h
516,8375,1021535,2016-07-14-23h
517,8382,1021542,2016-07-15-06h
518,8383,1021543,2016-07-15-07h
519,8384,1021544,2016-07-15-08h
520,8385,1021545,2016-07-15-09h
521,8386,1021546,2016-07-15-10h
522,8387,1021547,2016-07-15-11h
523,8388,1021548,2016-07-15-12h
524,8389,1021549,2016-07-15-13h
525,8390,1021550,2016-07-15-14h
526,8391,1021551,2016-07-15-15h
527,8392,1021552,2016-07-15-16h
528,8393,1021553,2016-07-15-17h
529,8394,1021554,2016-07-15-18h
530,8395,1021555,2016-07-15-19h
531,8396,1021556,2016-07-15-20h
532,8397,1021557,2016-07-15-21h
533,8398,1021558,2016-07-15-22h
534,8399,1021559,2016-07-15-23h
535,8400,1021560,2016-07-16-00h
536,8401,1021561,2016-07-16-01h
537,8402,1021562,2016-07-16-02h
538,8403,1021563,2016-07-16-03h
539,8404,1021564,2016-07-16-04h
540,8405,1021565,2016-07-16-05h
541,8406,1021566,2016-07-16-06h
542,8407,1021567,2016-07-16-07h
543,8408,1021568,2016-07-16-08h
544,8409,1021569,2016-07-16-09h
545,8410,1021570,2016-07-16-10h
546,8411,1021571,2016-07-16-11h
547,8412,1021572,2016-07-16-12h
548,8413,1021573,2016-07-16-13h
549,8414,1021574,2016-07-16-14h
550,8486,1021646,2016-07-19-14h
551,8487,1021647,2016-07-19-15h
552,8488,1021648,2016-07-19-16h
553,8489,1021649,2016-07-19-17h
554,8490,1021650,2016-07-19-18h
555,8491,1021651,2016-07-19-19h
556,8492,1021652,2016-07-19-20h
557,8493,1021653,2016-07-19-21h
558,8509,1021669,2016-07-20-13h
559,8510,1021670,2016-07-20-14h
560,8511,1021671,2016-07-20-15h
561,8512,1021672,2016-07-20-16h
562,8513,1021673,2016-07-20-17h
563,8514,1021674,2016-07-20-18h
564,8515,1021675,2016-07-20-19h
565,8516,1021676,2016-07-20-20h
566,8517,1021677,2016-07-20-21h
567,8518,1021678,2016-07-20-22h
568,8519,1021679,2016-07-20-23h
569,8520,1021680,2016-07-21-00h
570,8521,1021681,2016-07-21-01h
571,8536,1021696,2016-07-21-16h
572,8537,1021697,2016-07-21-17h
573,8538,1021698,2016-07-21-18h
574,8539,1021699,2016-07-21-19h
575,8540,1021700,2016-07-21-20h
576,8541,1021701,2016-07-21-21h
577,8542,1021702,2016-07-21-22h
578,8543,1021703,2016-07-21-23h
579,8544,1021704,2016-07-22-00h
580,8871,1027863,2017-04-04-15h
581,8872,1027864,2017-04-04-16h
582,8873,1027865,2017-04-04-17h
583,8874,1027866,2017-04-04-18h
584,8875,1027867,2017-04-04-19h
585,8876,1027868,2017-04-04-20h
586,8877,1027869,2017-04-04-21h
587,8893,1027885,2017-04-05-13h
588,8894,1027886,2017-04-05-14h
589,8895,1027887,2017-04-05-15h
590,8896,1027888,2017-04-05-16h
591,8897,1027889,2017-04-05-17h
592,8898,1027890,2017-04-05-18h
593,8899,1027891,2017-04-05-19h
594,8900,1027892,2017-04-05-20h
595,8901,1027893,2017-04-05-21h
596,8920,1027912,2017-04-06-16h
597,8921,1027913,2017-04-06-17h
598,8922,1027914,2017-04-06-18h
599,8923,1027915,2017-04-06-19h
600,8925,1027917,2017-04-06-21h
601,10233,1029225,2017-05-31-09h
602,10238,1029230,2017-05-31-14h
603,10239,1029231,2017-05-31-15h
604,10240,1029232,2017-05-31-16h
605,10241,1029233,2017-05-31-17h
606,10242,1029234,2017-05-31-18h
607,10243,1029235,2017-05-31-19h
608,10244,1029236,2017-05-31-20h
609,10245,1029237,2017-05-31-21h
610,10266,1029258,2017-06-01-18h
611,10794,1029786,2017-06-23-18h
612,10795,1029787,2017-06-23-19h
613,10796,1029788,2017-06-23-20h
614,10797,1029789,2017-06-23-21h
615,10812,1029804,2017-06-24-12h
616,10813,1029805,2017-06-24-13h
617,10814,1029806,2017-06-24-14h
618,10815,1029807,2017-06-24-15h
619,10816,1029808,2017-06-24-16h
620,10817,1029809,2017-06-24-17h
621,10818,1029810,2017-06-24-18h
622,10819,1029811,2017-06-24-19h
623,10820,1029812,2017-06-24-20h
624,10821,1029813,2017-06-24-21h
625,10837,1029829,2017-06-25-13h
626,10838,1029830,2017-06-25-14h
627,10839,1029831,2017-06-25-15h
628,10840,1029832,2017-06-25-16h
629,10841,1029833,2017-06-25-17h
630,10842,1029834,2017-06-25-18h
631,10843,1029835,2017-06-25-19h
632,11082,1030074,2017-07-05-18h
633,12541,1037365,2018-05-05-13h
634,12542,1037366,2018-05-05-14h
635,12543,1037367,2018-05-05-15h
636,12544,1037368,2018-05-05-16h
637,12546,1037370,2018-05-05-18h
638,12547,1037371,2018-05-05-19h
639,12548,1037372,2018-05-05-20h
640,12549,1037373,2018-05-05-21h
641,12552,1037376,2018-05-06-00h
642,12553,1037377,2018-05-06-01h
643,12558,1037382,2018-05-06-06h
644,12559,1037383,2018-05-06-07h
645,12560,1037384,2018-05-06-08h
646,12561,1037385,2018-05-06-09h
647,12784,1037608,2018-05-15-16h
648,12785,1037609,2018-05-15-17h
649,12786,1037610,2018-05-15-18h
650,12787,1037611,2018-05-15-19h
651,12788,1037612,2018-05-15-20h
652,12789,1037613,2018-05-15-21h
653,12801,1037625,2018-05-16-09h
654,12804,1037628,2018-05-16-12h
655,12805,1037629,2018-05-16-13h
656,12806,1037630,2018-05-16-14h
657,12807,1037631,2018-05-16-15h
658,12808,1037632,2018-05-16-16h
659,12809,1037633,2018-05-16-17h
660,12810,1037634,2018-05-16-18h
661,12811,1037635,2018-05-16-19h
662,12812,1037636,2018-05-16-20h
663,12813,1037637,2018-05-16-21h
664,12824,1037648,2018-05-17-08h
665,12825,1037649,2018-05-17-09h
666,12828,1037652,2018-05-17-12h
667,12829,1037653,2018-05-17-13h
668,12830,1037654,2018-05-17-14h
669,12831,1037655,2018-05-17-15h
670,12832,1037656,2018-05-17-16h
671,13015,1037839,2018-05-25-07h
672,13016,1037840,2018-05-25-08h
673,13017,1037841,2018-05-25-09h
674,13018,1037842,2018-05-25-10h
675,13019,1037843,2018-05-25-11h
676,13020,1037844,2018-05-25-12h
677,13021,1037845,2018-05-25-13h
678,13022,1037846,2018-05-25-14h
679,13023,1037847,2018-05-25-15h
680,13024,1037848,2018-05-25-16h
681,13025,1037849,2018-05-25-17h
682,13026,1037850,2018-05-25-18h
683,13027,1037851,2018-05-25-19h
